movie_name,ranking,score,score_num
牯岭街少年杀人事件,193,8.7,95128
燕尾蝶,194,8.6,102796
被解救的姜戈,195,8.5,241617
末路狂花,196,8.7,95662
这个男人来自地球,197,8.5,162280
变脸,198,8.4,200082
终结者2：审判日,199,8.5,130761
英国病人,200,8.4,164662
忠犬八公物语,201,9.0,50543
E.T. 外星人,202,8.5,141394
叫我第一名,203,8.6,101420
哪吒闹海,204,8.8,72494
青蛇,205,8.4,200596
发条橙,206,8.4,173371
源代码,207,8.3,380326
黄金三镖客,208,9.1,46636
黑客帝国3：矩阵革命,209,8.5,142029
新龙门客栈,210,8.4,167876
穆赫兰道,211,8.3,216497
美国丽人,212,8.4,171070
非常嫌疑犯,213,8.6,106840
城市之光,214,9.2,38766
上帝也疯狂,215,8.6,89484
无耻混蛋,216,8.4,207037
初恋这件小事,217,8.2,423187
勇士,218,8.9,81147
爱·回家,219,9.0,43912
蓝色大门,220,8.2,257837
曾经,221,8.3,191663
无敌破坏王,222,8.6,171957
模仿游戏,223,8.5,230348
暖暖内含光,224,8.4,134275
麦兜故事,225,8.5,119139
大卫·戈尔的一生,226,8.7,79745
蝴蝶,227,8.6,90578
血钻,228,8.5,118116
国王的演讲,229,8.3,313210
遗愿清单,230,8.5,114955
与狼共舞,231,8.9,52887
巴黎淘气帮,232,8.6,99388
荒岛余生,233,8.4,121410
偷拐抢骗,234,8.5,107909
爱在午夜降临前,235,8.7,103596
枪火,236,8.6,89481
疯狂的石头,237,8.2,282961
夜访吸血鬼,238,8.3,184817
千钧一发,239,8.7,75475
月球,240,8.5,131401
爱在暹罗,241,8.3,208566
中央车站,242,8.7,71889
我爱你,243,9.0,50223
寿司之神,244,8.8,74628
廊桥遗梦,245,8.5,90068
罪恶之城,246,8.4,132093
两小无猜,247,8.1,301431
彗星来的那一夜,248,8.3,148196
黑鹰坠落,249,8.5,100649
假如爱有天意,250,8.2,215355
